dimension,block_size,failures,mode,rw_ratio,read_user,read_proc,read_wall,write_user,write_proc,write_wall
6,1024,2,r,0.5,1.65081e+08,1.64255e+08,1.64091e+08,1.65122e+08,1.64295e+08,1.64131e+08
6,1024,2,r,0.9,2.29553e+07,2.28404e+07,2.28176e+07,2.06731e+08,2.05696e+08,2.0549e+08
6,1024,3,l,0.1,3.68604e+08,3.66391e+08,3.66024e+08,4.08611e+07,4.06157e+07,4.05751e+07
6,1024,3,l,0.5,1.15893e+08,1.15661e+08,1.15546e+08,1.15679e+08,1.15447e+08,1.15332e+08
6,1024,3,l,0.9,1.55032e+07,1.54101e+07,1.53947e+07,1.39552e+08,1.38714e+08,1.38575e+08
6,1024,3,r,0.1,2.67437e+08,2.66097e+08,2.65565e+08,2.98028e+07,2.96535e+07,2.95942e+07
6,1024,3,r,0.5,9.07851e+07,9.04213e+07,9.02404e+07,9.07546e+07,9.03909e+07,9.02101e+07
6,1024,3,r,0.9,1.27521e+07,1.27011e+07,1.26884e+07,1.14709e+08,1.1425e+08,1.14136e+08
6,2048,0,l,0.1,5.27868e+09,5.21521e+09,5.20478e+09,5.8621e+08,5.79161e+08,5.78003e+08
6,2048,0,l,0.5,1.38581e+09,1.36639e+09,1.36502e+09,1.38584e+09,1.36642e+09,1.36505e+09
6,2048,0,l,0.9,1.88974e+08,1.87083e+08,1.86896e+08,1.69928e+09,1.68227e+09,1.68058e+09
6,2048,0,r,0.1,3.67225e+09,3.62446e+09,3.62084e+09,4.07887e+08,4.02579e+08,4.02176e+08
6,2048,0,r,0.5,7.80369e+08,7.68651e+08,7.67883e+08,7.81312e+08,7.6958e+08,7.68811e+08
6,2048,0,r,0.9,9.68573e+07,9.5403e+07,9.53076e+07,8.73012e+08,8.59904e+08,8.59044e+08
6,2048,1,l,0.1,3.25747e+09,3.22486e+09,3.22163e+09,3.62257e+08,3.58631e+08,3.58273e+08
6,2048,1,l,0.5,7.12659e+08,7.05518e+08,7.04107e+08,7.12959e+08,7.05815e+08,7.04404e+08
6,2048,1,l,0.9,9.08982e+07,8.99874e+07,8.98075e+07,8.17739e+08,8.09545e+08,8.07926e+08
6,2048,1,r,0.1,2.07117e+09,2.04422e+09,2.04217e+09,2.3044e+08,2.27441e+08,2.27214e+08
6,2048,1,r,0.5,4.16336e+08,4.10913e+08,4.10091e+08,4.15923e+08,4.10506e+08,4.09685e+08
6,2048,1,r,0.9,5.09295e+07,5.02158e+07,5.01656e+07,4.57987e+08,4.51569e+08,4.51118e+08
6,2048,2,l,0.1,9.61644e+08,9.52981e+08,9.52028e+08,1.06701e+08,1.0574e+08,1.05634e+08
6,2048,2,l,0.5,2.81789e+08,2.78965e+08,2.78407e+08,2.81737e+08,2.78914e+08,2.78356e+08
6,2048,2,l,0.9,3.64832e+07,3.61545e+07,3.61183e+07,3.27115e+08,3.24168e+08,3.23844e+08
6,2048,2,r,0.1,6.03835e+08,5.97186e+08,5.96589e+08,6.69997e+07,6.62619e+07,6.61957e+07
6,2048,2,r,0.5,1.8996e+08,1.88247e+08,1.87871e+08,1.90186e+08,1.88471e+08,1.88094e+08
6,2048,2,r,0.9,2.69391e+07,2.66425e+07,2.66158e+07,2.42263e+08,2.39596e+08,2.39356e+08
6,2048,3,l,0.1,4.03922e+08,2.72112e+08,2.7184e+08,4.48713e+07,3.02286e+07,3.01984e+07
